차 이름,연식,키로수,가격
기아 더 뉴 쏘렌토 4세대 HEV 1.6 2WD 프레스티지,23/07식,"13,000km",렌트월69만원
현대 아이오닉 일렉트릭 Q,17/04식,"137,900km","1,070만원"
쉐보레(GM대우) 뉴 라보 SUPER,15/12식,"49,880km",480만원
현대 투싼 하이브리드 (NX4) 인스퍼레이션 2WD,23/12식,"4,500km","3,500만원"
포르쉐 타이칸 베이스,23/12식,"3,500km",리스월174만원
르노코리아(삼성) 뉴SM5(신형) LPLI LE,11/08식,"144,000km",230만원
르노코리아(삼성) SM5 LPG,05/07식,"276,459km",120만원
렉서스 ES300h 7세대 이그제큐티브,19/04식,"59,000km","4,300만원"
테슬라 모델 3 롱 레인지,22/03식,"65,000km","4,200만원"
아우디 Q4 e-트론 40 프리미엄 스포트백,23/12식,13km,"5,690만원"
BMW X5 (G05) xDrive 50e xLine,24/02식,"4,000km",리스월159만원
테슬라 모델 Y 롱 레인지,22/05식,"38,900km",렌트월144만원
테슬라 모델 Y 롱 레인지,22/08식,"33,300km",렌트월81만원
현대 더 뉴 싼타페 HEV 1.6 2WD 프레스티지,22/05식,"15,800km","3,500만원"
포르쉐 타이칸 4S,21/01식,"35,000km","12,200만원"
기아 디 올 뉴 니로 시그니처,22/03식,"35,500km","2,870만원"
현대 YF 쏘나타 LPI 디럭스,10/10식,"220,486km",440만원
현대 그랜저 IG 3.0 LPI 택시형 모범형,18/06식,"235,000km","1,130만원"
테슬라 모델 3 스탠다드 레인지 플러스,20/03식,"155,000km","2,690만원"
테슬라 모델 X 롱 레인지,20/10식,"160,000km","7,200만원"
쉐보레(GM대우) 스파크 LPG L,12/10식,"119,500km",380만원
쉐보레(GM대우) 뉴 다마스 2인승 판넬밴 DLX,15/03식,"81,226km",430만원
현대 아이오닉 일렉트릭 Q,17/05식,"99,736km","1,450만원"
기아 쏘렌토 4세대 HEV 1.6 2WD 노블레스,22/06식,"25,618km","3,800만원"
현대 그랜저 뉴 럭셔리 LPI Q270 팩1,09/10식,"235,000km",230만원
현대 아이오닉5 N,23/12식,"7,974km","6,650만원"
현대 더 뉴 그랜저 IG 하이브리드 프리미엄 초이스,20/10식,"56,000km",렌트월59만원
미니 쿠퍼 일렉트릭 젠 ZE 에디션 1세대,22/06식,"7,623km",리스월45만원
BMW i8 쿠페,16/12식,"121,000km","6,200만원"
현대 그랜저 하이브리드 (GN7) 익스클루시브,23/02식,"17,000km",렌트월77만원
인피니티 Q50 3.5 블루 스포츠 센서리,17/11식,"74,500km","1,899만원"
KG모빌리티(쌍용) 토레스 EVX E7,23/11식,"10,960km","3,820만원"
찜하기,현대 코나 하이브리드 모던 스페셜,19/10식,서울
현대 쏘나타 하이브리드 2.0 프리미어,12/09식,"138,904km",490만원
기아 스포티지 5세대 하이브리드 프레스티지 2WD,22/05식,"21,100km",렌트월67만원
벤츠 EQS V297 EQS450+ AMG 라인,22/10식,"35,000km",리스월171만원
현대 갤로퍼 2 9인승 V6 LPG,99/09식,"251,959km",620만원
포르쉐 타이칸 베이스,22/02식,"21,500km",리스월220만원
쉐보레(GM대우) 스파크 LPG LT 기본형,14/07식,"202,380km",200만원
테슬라 모델 3 롱 레인지,22/03식,"30,000km",리스월73만원
기아 EV6 롱레인지 에어,21/12식,"83,000km",렌트월65만원
기아 더 뉴 K5 LPI 디럭스,15/01식,"157,636km",585만원
도요타 캠리 하이브리드,11/04식,"132,585km",690만원
폴스타 폴스타 2 롱레인지 싱글모터,22/08식,"47,801km","3,300만원"
기아 스포티지 5세대 하이브리드 프레스티지 2WD,23/06식,"20,000km",렌트월61만원
기아 EV6 롱레인지 어스,21/09식,"35,000km",렌트월76만원
벤츠 EQS V297 EQS450+ AMG 라인,22/09식,"23,000km",리스월230만원
기아 올 뉴 K7 하이브리드 노블레스,19/02식,"174,000km","1,490만원"
도요타 시에나 4세대 2.5 하이브리드 AWD,23/05식,"13,268km","6,280만원"
포르쉐 타이칸 베이스,22/02식,"45,000km",리스월189만원
현대 코나 일렉트릭 모던,20/12식,"135,500km","1,690만원"
기아 더 프레스티지 K7 LPI 3.0 프레스티지,11/12식,"123,000km",720만원
현대 코나 일렉트릭 프리미엄,18/06식,"182,500km","1,500만원"
렉서스 뉴 ES300h 슈프림 XV60,15/05식,"69,440km","2,300만원"
현대 아이오닉 일렉트릭 Q,17/01식,"141,050km","1,000만원"
렉서스 NX350h 2세대 럭셔리,22/10식,"23,000km","6,550만원"
벤츠 EQE V295 EQE350 4MATIC,23/09식,"22,741km","7,100만원"
렉서스 ES300h 7세대 럭셔리 플러스,23/05식,"17,720km","5,300만원"
아우디 RS e-트론 GT GT RS,21/12식,203km,리스월335만원
기아 니로 EV 노블레스,19/06식,"126,000km","1,960만원"
테슬라 모델 3 롱 레인지,20/02식,"117,000km",리스월86만원
기아 더 뉴 기아 레이 EV 밴 2인승 라이트,23/11식,"2,140km",렌트월44만원
테슬라 모델 Y 퍼포먼스,22/12식,"10,500km","9,000만원"
기아 쏘렌토 4세대 HEV 1.6 2WD 그래비티,22/12식,"20,000km","9,999만원"
아우디 Q4 e-트론 40,22/10식,"38,000km",리스월88만원
기아 EV6 롱레인지 4WD 어스,21/10식,"92,000km",렌트월82만원
테슬라 모델 S 롱 레인지,20/11식,"53,000km","7,150만원"
테슬라 모델 Y 롱 레인지,21/05식,"57,605km","5,200만원"
